,Model,rating,user,time_of_review,review,title,user_address,user_type
117,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Ganesh Nimbalkar,7months ago,good product,Worth every penny,Shirdi,Certified Buyer
118,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,mohammad Shadab,8months ago,ll functions are good only battery backup not good,Wonderful,Darbhanga,Certified Buyer
119,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Baba Vali  Shaik,6days ago,It's Nice and good performance.Camera quality also good.,Pretty good,Guntur District,Certified Buyer
120,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Sheeja  N. V,7days ago,The product is not fresh,Really Nice,Kozhikode,Certified Buyer
121,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Satyabrata Samal,7days ago,good,Delightful,Kalinga Nagar Industrial Area,Certified Buyer
122,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkartbhaben Customer baruah,8days ago,It's a very good product from Samsung...,Highly recommended,Sivasagar District,Certified Buyer
123,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Krishan Jakhar,10days ago,Nice,Good quality product,Dehradun,Certified Buyer
124,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Flipkart Customer,11days ago,frequently hangs,Just okay,Karimnagar,Certified Buyer
125,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,2,Pukhraj prajapat,11days ago,y phone not working properly and charging is very bad . Charger plug not  connect .,Bad quality,Sirohi,Certified Buyer
126,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Manju nath N ,12days ago,xcellent Battery  ..,Must buy!,Nanjangud,Certified Buyer
127,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Rakshi Rap,12days ago,Perfomance is slow,Value-for-money,Bengaluru,Certified Buyer
128,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Ramya Rajkumar  Raj,13days ago,Nice products,Perfect product!,Devakottai,Certified Buyer
129,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Rohan Ghosh,15days ago,GOOD CHOIC,Worth the money,Nadia District,Certified Buyer
130,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,16days ago,Nice phone,Fabulous!,Kottayam,Certified Buyer
131,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Flipkart Customer,17days ago,Very good product,Wonderful,Kharagpur,Certified Buyer
132,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Surajit Paul,17days ago,Value for money and packaging n delivery by flipkart is good,Really Nice,Halisahar,Certified Buyer
133,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,kunjalkumar patel,21days ago,Nice product,Classy product,Gandhinagar,Certified Buyer
134,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Mahmad Latif S.  Ghasura,22days ago,Very nice Mobile,Wonderful,Deesa,Certified Buyer
135,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Ankit kumar,23days ago,isplay not so good,Unsatisfactory,Biharsharif,Certified Buyer
136,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Asutosh Singh,24days ago,Very good phone excellent display and battery must buy no competition of display in front of samsung at this price range.,Best in the market!,Jamalpur,Certified Buyer
137,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Rajesh G M,25days ago,wesome,Excellent,Kollegal,Certified Buyer
138,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Abhishk,27days ago,Valu of money very good,Awesome,Allahabad,Certified Buyer
139,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,konamoni madhu,29days ago,some,Must buy!,Wanaparthy,Certified Buyer
140,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,HINDUJA AZAD,1month ago,Super,Must buy!,Arrah,Certified Buyer
141,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Deepak Sharma,1month ago,mazing features with performance Falling in love with Samsung 😊,Simply awesome,Bengaluru,Certified Buyer
142,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Pradeep Kpk,1month ago,Worst mobile,Absolute rubbish!,Jagalur,Certified Buyer
143,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,1month ago,The product is superb n has all features as expected....but delivery was late,Simply awesome,Homnabad,Certified Buyer
144,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Poojamrutha,1month ago,wesome phone... the best ever... battery life is incredible.. 9 months..many more to go,Mind-blowing purchase,Gurgaon District,Certified Buyer
145,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Santosh Pattar,1month ago,Loved it,Worth every penny,Ilkal,Certified Buyer
